真实单价总览 · 订阅与 API 统一对比
美元/credits与API三段价统一按97.5%缓存 / 2.15%输入 / 0.35%输出折算；直接total-token实测不重算
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算；同名档国内外并点，月费/单价按国际版美元标价（$19/$39/$99），¥价为国内实付。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元（Kimi 同名并点档除外，按国际版美元标价）。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月            服务模型                    月额度(亿)  $/MTok   置信度
----  ---------------------------------  -----------------  --------------------------  ----------  -------  ------
1     Step Plan Max (¥699)               CNY 699            Step 3.5 Flash              1747.49     0.00059  medium
2     OpenCode Go                        USD 10             Muse Spark 1.3 Contributor  125         0.0008   medium
3     OpenCode Go                        USD 10             Muse Spark 1.2 Contributor  125         0.0008   medium
4     Step Plan Pro (¥199)               CNY 199            Step 3.5 Flash              349.498     0.00084  medium
5     OpenCode Go                        USD 10             MiMo V2.5                   89.286      0.00112  medium
6     OpenCode Go                        USD 10             MiMo V2.6 Flash             89.286      0.00112  medium
7     Step Plan Max (¥699)               CNY 699            Step 3.7 Flash              877.915     0.00117  medium
8     ChatGPT Pro 20x                    USD 200            GPT 5.6 Luna                1502.22     0.00133  medium
9     Step Plan Pro (¥199)               CNY 199            Step 3.7 Flash              175.583     0.00167  medium
10    Command Code GOAT                  USD 10             DeepSeek V4.1 Flash         48.485      0.00206  medium
11    Step Plan Plus (¥99)               CNY 99             Step 3.5 Flash              69.9        0.00209  medium
12    Command Code GOAT                  USD 10             MiMo V2.5                   44.643      0.00224  medium
13    Command Code GOAT                  USD 10             MiMo V2.6 Flash             44.643      0.00224  medium
14    Command Code GOAT                  USD 10             Muse Spark 1.3 Contributor  41.667      0.0024   medium
15    Command Code GOAT                  USD 10             Muse Spark 1.2 Contributor  41.667      0.0024   medium
16    ChatGPT Plus                       USD 20             GPT 5.6 Luna                75.11       0.00266  high
17    ChatGPT Pro 5x                     USD 100            GPT 5.6 Luna                375.56      0.00266  medium
18    OpenCode Go                        USD 10             LongCat 2.0                 36.364      0.00275  medium
19    Ollama Pro                         USD 20             DeepSeek V4.1 Flash         72.727      0.00275  medium
20    Ollama Max                         USD 100            DeepSeek V4.1 Flash         363.636     0.00275  medium
21    GLM Coding Pro (v2 ¥149) 闲时      CNY 149            GLM 5.3 Flash               76.99       0.00285  high
22    Step Plan Max (¥699)               CNY 699            Step 5 Preview              287.15      0.00359  medium
23    GLM Coding Pro (v2 ¥149) 中间值    CNY 149            GLM 5.3 Flash               57.74       0.00381  high
24    GLM Coding Max (v2 ¥469) 闲时      CNY 469            GLM 5.3 Flash               179.65      0.00385  high
25    Step Plan Mini (¥49)               CNY 49             Step 3.5 Flash              17.475      0.00414  medium
26    Step Plan Plus (¥99)               CNY 99             Step 3.7 Flash              35.117      0.00416  medium
27    Claude Pro                         USD 20             Claude Sonnet 5             46.95       0.00426  medium
28    Google AI Ultra 20x                USD 199.99         Gemini 3.8 Flash            448.2       0.00446  low
29    Ollama Pro                         USD 20             DeepSeek V4 Flash           43.274      0.00462  medium
30    Ollama Max                         USD 100            DeepSeek V4 Flash           216.372     0.00462  medium
31    MiMo Token Plan Max 夜间0.8×       ¥659（国际 $100）  MiMo V2.6 Flash             213.54      0.00468  medium
32    MiMo Token Plan Max 夜间0.8×       ¥659（国际 $100）  MiMo V2.5                   213.54      0.00468  medium
33    MiMo Token Plan Pro 夜间0.8×       ¥329（国际 $50）   MiMo V2.6 Flash             98.96       0.00505  medium
34    MiMo Token Plan Pro 夜间0.8×       ¥329（国际 $50）   MiMo V2.5                   98.96       0.00505  medium
35    Claude Max 20x (9/14+)             USD 200            Claude Sonnet 5             392.5       0.0051   medium
36    Claude Max 5x (9/14+)              USD 100            Claude Sonnet 5             196.25      0.0051   low
37    Step Plan Pro (¥199)               CNY 199            Step 5 Preview              57.43       0.00511  medium
38    GLM Coding Max (v2 ¥469) 中间值    CNY 469            GLM 5.3 Flash               134.73      0.00514  high
39    OpenCode Go                        USD 10             DeepSeek V4.1 Flash         18.182      0.0055   medium
40    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）    MiMo V2.6 Flash             28.65       0.00558  medium
41    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）    MiMo V2.5                   28.65       0.00558  medium
42    Command Code GOAT                  USD 10             Hy3                         17.873      0.0056   medium
43    MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）     MiMo V2.6 Flash             10.68       0.00562  medium
44    MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）     MiMo V2.5                   10.68       0.00562  medium
45    GLM Coding Lite (v2 ¥49) 闲时      CNY 49             GLM 5.3 Flash               12.83       0.00563  high
46    GLM Coding Pro (v2 ¥149) 忙时      CNY 149            GLM 5.3 Flash               38.5        0.00571  high
47    MiMo Token Plan Max 日间           ¥659（国际 $100）  MiMo V2.6 Flash             170.83      0.00585  medium
48    MiMo Token Plan Max 日间           ¥659（国际 $100）  MiMo V2.5                   170.83      0.00585  medium
49    MiMo Token Plan Pro 日间           ¥329（国际 $50）   MiMo V2.6 Flash             79.17       0.00632  medium
50    MiMo Token Plan Pro 日间           ¥329（国际 $50）   MiMo V2.5                   79.17       0.00632  medium
51    OpenCode Go                        USD 10             Hy3                         15.32       0.00653  medium
52    MiMo V2.6 Flash API                按量计费           MiMo V2.6 Flash             -           0.00672  high
53    OpenCode Go                        USD 10             Qwen3.8 Flash               14.656      0.00682  medium
54    MiMo Token Plan Standard 日间      ¥99（国际 $16）    MiMo V2.6 Flash             22.92       0.00698  medium
55    MiMo Token Plan Standard 日间      ¥99（国际 $16）    MiMo V2.5                   22.92       0.00698  medium
56    MiMo Token Plan Lite 日间          ¥39（国际 $6）     MiMo V2.6 Flash             8.54        0.00703  medium
57    MiMo Token Plan Lite 日间          ¥39（国际 $6）     MiMo V2.5                   8.54        0.00703  medium
58    GLM Coding Lite (v2 ¥49) 中间值    CNY 49             GLM 5.3 Flash               9.62        0.00751  high
