订阅月费：$0–30（含 $30）
订阅额度总览 · 套餐 × 实际服务模型
默认月 = 4 周，Kimi独立月池 = 周池×5；饱和使用；全口径 token；按量 API 无月额度
同套餐各模型额度不可相加。Claude Max (9/14+)：2026-09-14起永久额度估算，非当前活动期上限。数据：adopted.csv。
颜色 = 套餐/API 提供方；置信度 [H] 高 / [M] 中 / [L] 低；编号为排序序号，同值依次列出，不代表模型能力排名。
† Kimi：¥199的K3点以K3-256K为主，约84%反推周池×5得14.51亿；K2.7纯样本11.9M/月0.76%得15.68亿；其余档按官方倍率推算；同名档国内外并点，月费/单价按国际版美元标价（$19/$39/$99），¥价为国内实付。OpenCode Go按官方美元池和三段价套统一标准负载换算。
汇率：1 USD = 6.7787 CNY（2026-09-04，中国外汇交易中心中间价，新华社转载）；人民币月费 ÷ 汇率换算美元（Kimi 同名并点档除外，按国际版美元标价）。
汇率来源：https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
序号  套餐                               价格/月          服务模型                      月额度(亿)  $/MTok   置信度
----  ---------------------------------  ---------------  ----------------------------  ----------  -------  ------
1     Step Plan Pro (¥199)               CNY 199          Step 3.5 Flash                346.32      0.00085  medium
2     Step Plan Pro (¥199)               CNY 199          Step 3.7 Flash                171.766     0.00171  medium
3     OpenCode Go                        USD 10           Muse Spark 1.3 Contributor    110.294     0.00091  medium
4     OpenCode Go                        USD 10           Muse Spark 1.2 Contributor    110.294     0.00091  medium
5     OpenCode Go                        USD 10           MiMo V2.5                     78.782      0.00127  medium
6     OpenCode Go                        USD 10           MiMo V2.6 Flash               78.782      0.00127  medium
7     ChatGPT Plus                       USD 20           GPT 5.6 Luna                  75.11       0.00266  high
8     GLM Coding Pro (v2 ¥149) 闲时      CNY 149          GLM 5.3 Flash                 74.92       0.00293  high
9     Step Plan Plus (¥99)               CNY 99           Step 3.5 Flash                69.264      0.00211  medium
10    Command Code GOAT                  USD 10           DeepSeek V4 Flash             62.112      0.00161  medium
11    Ollama Pro                         USD 20           DeepSeek V4.1 Flash           62.112      0.00322  medium
12    Step Plan Pro (¥199)               CNY 199          Step 5 Preview                56.637      0.00518  medium
13    GLM Coding Pro (v2 ¥149) 中间值    CNY 149          GLM 5.3 Flash                 56.19       0.00391  high
14    Claude Pro                         USD 20           Claude Sonnet 5               46.95       0.00426  medium
15    Command Code GOAT                  USD 10           DeepSeek V4.1 Flash           41.408      0.00241  medium
16    Command Code GOAT                  USD 10           MiMo V2.5                     39.391      0.00254  medium
17    Command Code GOAT                  USD 10           MiMo V2.6 Flash               39.391      0.00254  medium
18    Ollama Pro                         USD 20           DeepSeek V4 Flash             38.486      0.0052   medium
19    GLM Coding Pro (v2 ¥149) 忙时      CNY 149          GLM 5.3 Flash                 37.46       0.00587  high
20    Command Code GOAT                  USD 10           Muse Spark 1.3 Contributor    36.765      0.00272  medium
21    Command Code GOAT                  USD 10           Muse Spark 1.2 Contributor    36.765      0.00272  medium
22    Claude Pro                         USD 20           Claude Opus 5.5               36.089      0.00554  low
23    Step Plan Plus (¥99)               CNY 99           Step 3.7 Flash                34.353      0.00425  medium
24    OpenCode Go                        USD 10           LongCat 2.0                   31.056      0.00322  medium
25    OpenCode Go                        USD 10           DeepSeek V4 Flash             31.056      0.00322  medium
26    Command Code GOAT                  USD 10           qwen3.7-flash                 27.701      0.00361  medium
27    Command Code GOAT                  USD 10           LongCat 2.0                   25.88       0.00386  medium
28    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）  MiMo V2.6 Flash               25.28       0.00633  medium
29    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）  MiMo V2.5                     25.28       0.00633  medium
30    GLM Coding Pro (v2 ¥149) 闲时      CNY 149          GLM 5.3                       24.72       0.00889  high
31    Google AI Pro                      USD 19.99        Gemini 3.8 Flash              22.41       0.00892  high
32    Command Code GOAT                  USD 10           DeepSeek V4 Flash Vision Exp  20.704      0.00483  medium
33    MiMo Token Plan Standard 日间      ¥99（国际 $16）  MiMo V2.6 Flash               20.22       0.00791  medium
34    MiMo Token Plan Standard 日间      ¥99（国际 $16）  MiMo V2.5                     20.22       0.00791  medium
35    Claude Pro                         USD 20           Claude Opus 5                 18.78       0.01065  high
36    Claude Pro                         USD 20           Claude Opus 4.8               18.78       0.01065  low
37    GLM Coding Pro (v2 ¥149) 中间值    CNY 149          GLM 5.3                       18.54       0.01186  high
38    MiniMax Token Plan Max             CNY 119          MiniMax M3                    18          0.00975  high
39    Command Code GOAT                  USD 10           Hy3                           17.348      0.00576  medium
40    Step Plan Mini (¥49)               CNY 49           Step 3.5 Flash                17.316      0.00417  medium
41    MiniMax Token Plan Plus (Global)   USD 22           MiniMax M3                    17          0.01294  high
42    MiniMax Token Plan Plus (Global)   USD 22           MiniMax M2.7                  17          0.01294  medium
43    OpenCode Go                        USD 10           GLM 5.3 Flash                 16.973      0.00589  medium
44    Ollama Pro                         USD 20           GLM 5.3 Flash                 16.973      0.01178  medium
45    OpenCode Go                        USD 10           DeepSeek V4.1 Flash           15.528      0.00644  medium
46    OpenCode Go                        USD 10           DeepSeek V4 Flash Vision Exp  15.528      0.00644  medium
47    OpenCode Go                        USD 10           Hy3                           14.87       0.00672  medium
48    OpenCode Go                        USD 10           Qwen3.8 Flash                 13.876      0.00721  medium
49    Command Code GOAT                  USD 10           gpt-6-luna                    13.605      0.00735  medium
50    OpenCode Go                        USD 10           Omen Alpha                    12.739      0.00785  medium
51    Ollama Pro                         USD 20           DeepSeek V4 Pro               12.568      0.01591  medium
52    GLM Coding Lite (v3 ¥118) 闲时     CNY 118          GLM 5.3 Flash                 12.49       0.01394  high
53    GLM Coding Lite (v2 ¥49) 闲时      CNY 49           GLM 5.3 Flash                 12.49       0.00579  high
54    GLM Coding Pro (v2 ¥149) 忙时      CNY 149          GLM 5.3                       12.36       0.01778  high
55    Cursor Pro (Standard)              USD 20           Composer 2.5                  12.126      0.01649  medium
56    ChatGPT Plus                       USD 20           GPT 5.6 Terra                 11.915      0.01679  medium
57    Step Plan Plus (¥99)               CNY 99           Step 5 Preview                11.327      0.01289  high
58    Command Code GOAT                  USD 10           GLM 5.3 Flash                 11.315      0.00884  medium
59    Command Code GOAT                  USD 10           Qwen3.8 27B                   10.972      0.00911  medium
60    Command Code GOAT                  USD 10           MiMo V2.5 Pro                 10.685      0.00936  medium
61    Command Code GOAT                  USD 10           MiMo V2.6 Pro                 10.685      0.00936  medium
62    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）  MiMo V2.6 Pro                 10.64       0.01504  medium
63    MiMo Token Plan Standard 夜间0.8×  ¥99（国际 $16）  MiMo V2.5 Pro                 10.64       0.01504  medium
64    OpenCode Go                        USD 10           Qwen3.7 Plus                  10.563      0.00947  medium
65    ChatGPT Plus                       USD 20           GPT-6 Sol                     10.48       0.01908  high
66    OpenCode Go                        USD 10           gpt-6-luna                    10.204      0.0098   medium
67    MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）   MiMo V2.6 Flash               9.42        0.00637  medium
68    MiMo Token Plan Lite 夜间0.8×      ¥39（国际 $6）   MiMo V2.5                     9.42        0.00637  medium
69    GLM Coding Lite (v3 ¥118) 中间值   CNY 118          GLM 5.3 Flash                 9.36        0.0186   high
70    GLM Coding Lite (v2 ¥49) 中间值    CNY 49           GLM 5.3 Flash                 9.36        0.00772  high
71    Command Code GOAT                  USD 10           qwen3.8-omni-flash            9.251       0.01081  medium
72    Command Code GOAT                  USD 10           Qwen3.8 Flash                 9.145       0.01093  medium
73    Step Plan Mini (¥49)               CNY 49           Step 3.7 Flash                8.588       0.00842  medium
74    Command Code GOAT                  USD 10           Step 3.5 Flash                8.547       0.0117   medium
75    MiMo Token Plan Standard 日间      ¥99（国际 $16）  MiMo V2.6 Pro                 8.51        0.0188   medium
76    MiMo Token Plan Standard 日间      ¥99（国际 $16）  MiMo V2.5 Pro                 8.51        0.0188   medium
77    OpenCode Go                        USD 10           MiniMax M3                    8.368       0.01195  medium
